danmaku,now_rank,aid,url,reply,share,coin,favorite,his_rank,view
112101,0,6168110,http://www.bilibili.com/video/av6168110,38575,2498,15148,2032,0,3607789
21447,1,6117110,http://www.bilibili.com/video/av6117110,15985,22779,185693,175358,96,3602610
119679,0,6250940,http://www.bilibili.com/video/av6250940,33956,1789,14212,1812,0,3417271
69008,0,6447463,http://www.bilibili.com/video/av6447463,61672,7584,27122,181584,0,3385866
292301,0,6335861,http://www.bilibili.com/video/av6335861,47858,6129,36986,4852,0,3039174
12331,0,6108496,http://www.bilibili.com/video/av6108496,5800,22812,74392,105388,98,2512101
14414,0,6470859,http://www.bilibili.com/video/av6470859,8406,27674,52084,74559,85,2167569
11928,0,6467776,http://www.bilibili.com/video/av6467776,2602,36926,6870,68468,0,2154316
70079,0,6140738,http://www.bilibili.com/video/av6140738,9829,551,6547,904,0,2135285
57639,1,6375191,http://www.bilibili.com/video/av6375191,21386,43996,113773,64708,1,2109554
45265,0,6226935,http://www.bilibili.com/video/av6226935,6579,455,5185,862,0,2103507
102475,0,6206361,http://www.bilibili.com/video/av6206361,17591,7193,43229,9641,0,1984786
74708,0,6398082,http://www.bilibili.com/video/av6398082,9166,1002,9906,1167,0,1945596
42658,0,6320264,http://www.bilibili.com/video/av6320264,6719,500,5075,948,0,1919932
67506,0,6378682,http://www.bilibili.com/video/av6378682,6205,2852,32914,6852,74,1877479
61476,0,6464652,http://www.bilibili.com/video/av6464652,10677,2338,44341,6074,66,1831108
81822,0,6292254,http://www.bilibili.com/video/av6292254,8569,3712,37092,5445,0,1754543
50039,1,6467193,http://www.bilibili.com/video/av6467193,9225,27340,29851,104294,67,1736230
15635,1,6401720,http://www.bilibili.com/video/av6401720,7415,12658,18009,25144,1,1704805
28600,0,6209709,http://www.bilibili.com/video/av6209709,5005,4799,34659,10687,69,1647612
11795,0,6201477,http://www.bilibili.com/video/av6201477,6354,611,37397,7197,2,1609988
73059,0,6459678,http://www.bilibili.com/video/av6459678,6813,1613,6620,1958,0,1568059
29683,0,6201986,http://www.bilibili.com/video/av6201986,6017,546,2435,565,0,1478074
49562,0,6464960,http://www.bilibili.com/video/av6464960,4543,292,19005,17120,8,1401293
62832,0,6190780,http://www.bilibili.com/video/av6190780,13699,2384,14225,56405,0,1361918
20110,1,6272339,http://www.bilibili.com/video/av6272339,2751,20554,59602,67660,98,1338522
35559,0,6268516,http://www.bilibili.com/video/av6268516,1878,2742,1034,29930,0,1312732
15156,0,6276958,http://www.bilibili.com/video/av6276958,6231,1889,24919,5531,26,1303898
11577,0,6208644,http://www.bilibili.com/video/av6208644,4314,4124,27686,12610,55,1274313
6032,0,6286186,http://www.bilibili.com/video/av6286186,3841,4035,25924,39771,87,1241929
21508,0,6121816,http://www.bilibili.com/video/av6121816,2014,288,3772,507,0,1229938
17531,0,6207975,http://www.bilibili.com/video/av6207975,2407,301,3193,521,0,1197355
28435,0,6255385,http://www.bilibili.com/video/av6255385,4955,625,3621,817,0,1192451
7214,0,6294793,http://www.bilibili.com/video/av6294793,2059,396,4965,1728,84,1192367
17067,1,6207375,http://www.bilibili.com/video/av6207375,8340,2853,27588,55415,98,1190110
25584,0,6171128,http://www.bilibili.com/video/av6171128,4782,612,3963,796,0,1187691
19185,0,6298137,http://www.bilibili.com/video/av6298137,2691,216,2912,491,0,1178323
16258,1,6274082,http://www.bilibili.com/video/av6274082,10078,9513,64722,86578,58,1171448
8312,0,6121473,http://www.bilibili.com/video/av6121473,2860,2388,21012,10781,15,1159991
31825,0,6345621,http://www.bilibili.com/video/av6345621,9128,763,4756,907,0,1150181
8577,0,6292084,http://www.bilibili.com/video/av6292084,3573,265,1869,384,0,1142149
42609,0,6115075,http://www.bilibili.com/video/av6115075,3836,804,3312,1035,0,1140706
49081,0,6298708,http://www.bilibili.com/video/av6298708,9767,1610,12163,1860,0,1133259
39817,0,6429835,http://www.bilibili.com/video/av6429835,6049,1167,5806,843,0,1120384
5952,0,6460421,http://www.bilibili.com/video/av6460421,2851,293,1875,313,0,1119338
27956,0,6466045,http://www.bilibili.com/video/av6466045,3486,342,2430,543,0,1117888
5879,0,6116035,http://www.bilibili.com/video/av6116035,2982,224,1285,322,0,1114808
26507,0,6380368,http://www.bilibili.com/video/av6380368,3557,409,3244,440,0,1108702
7317,0,6203703,http://www.bilibili.com/video/av6203703,2066,247,1253,330,0,1095325
6754,0,6463773,http://www.bilibili.com/video/av6463773,1452,395,5775,1824,40,1089191
5938,0,6375245,http://www.bilibili.com/video/av6375245,3173,223,1384,383,0,1088691
10492,0,6384185,http://www.bilibili.com/video/av6384185,3747,434,25396,3079,81,1063661
5449,0,6206642,http://www.bilibili.com/video/av6206642,2109,1396,12860,24663,96,1051390
117896,1,6266279,http://www.bilibili.com/video/av6266279,10840,4676,41597,83563,80,1040654
5142,0,6275111,http://www.bilibili.com/video/av6275111,2129,178,1241,292,0,1037937
11739,1,6445189,http://www.bilibili.com/video/av6445189,3168,13650,32169,33170,99,1033212
7526,0,6169183,http://www.bilibili.com/video/av6169183,1803,248,1491,406,0,1031429
5873,0,6207036,http://www.bilibili.com/video/av6207036,1156,262,3705,1334,34,1028176
3483,0,6179885,http://www.bilibili.com/video/av6179885,2049,145,1137,298,0,1015116
5930,0,6193586,http://www.bilibili.com/video/av6193586,2014,144,1239,351,0,1014895
20419,0,6374661,http://www.bilibili.com/video/av6374661,33633,3270,32215,15314,27,1008541
6922,0,6120331,http://www.bilibili.com/video/av6120331,1547,282,4604,1259,32,1000693
5596,0,6159692,http://www.bilibili.com/video/av6159692,1699,156,1208,289,0,1000059
5723,0,6242071,http://www.bilibili.com/video/av6242071,1714,179,1282,304,0,993633
4918,0,6417044,http://www.bilibili.com/video/av6417044,2552,151,1516,252,0,990504
9311,0,6437347,http://www.bilibili.com/video/av6437347,2522,150,1304,256,0,984349
6278,0,6429831,http://www.bilibili.com/video/av6429831,2482,152,1365,264,0,984225
6015,0,6263996,http://www.bilibili.com/video/av6263996,1486,139,1103,263,0,981684
5349,0,6450395,http://www.bilibili.com/video/av6450395,1887,125,1443,199,0,976777
5383,0,6335252,http://www.bilibili.com/video/av6335252,2358,116,1238,283,0,972883
4112,0,6255382,http://www.bilibili.com/video/av6255382,1516,124,1105,260,0,968846
23810,0,6208512,http://www.bilibili.com/video/av6208512,3260,398,5787,799,0,965465
28125,0,6122201,http://www.bilibili.com/video/av6122201,3839,441,6179,917,0,963134
4166,0,6365710,http://www.bilibili.com/video/av6365710,1837,139,1065,241,0,956245
11150,0,6426665,http://www.bilibili.com/video/av6426665,3033,1269,10402,4283,4,954927
5721,0,6378813,http://www.bilibili.com/video/av6378813,1131,249,4271,1217,18,949337
10112,0,6213192,http://www.bilibili.com/video/av6213192,3229,4753,15581,8651,27,945134
51363,0,6130025,http://www.bilibili.com/video/av6130025,5213,1345,3947,17239,0,944711
4759,0,6345624,http://www.bilibili.com/video/av6345624,1982,131,1481,280,0,934448
5332,0,6355463,http://www.bilibili.com/video/av6355463,2100,132,1255,225,0,930903
11206,1,6134548,http://www.bilibili.com/video/av6134548,8766,8444,117566,58249,82,917077
28332,0,6190356,http://www.bilibili.com/video/av6190356,1955,198,1545,305,0,916150
4577,0,6426720,http://www.bilibili.com/video/av6426720,2592,2648,10671,11303,28,914196
4458,1,6202208,http://www.bilibili.com/video/av6202208,1925,2419,18121,42697,27,912217
11449,0,6169315,http://www.bilibili.com/video/av6169315,4818,1072,9777,4260,6,903404
4561,0,6206700,http://www.bilibili.com/video/av6206700,1667,202,3346,978,35,898748
9365,0,6274696,http://www.bilibili.com/video/av6274696,4520,1208,8259,4114,0,895586
18479,0,6274576,http://www.bilibili.com/video/av6274576,1864,218,1425,272,0,895438
3618,0,6239768,http://www.bilibili.com/video/av6239768,2117,1365,1069,22996,0,881332
4563,0,6253025,http://www.bilibili.com/video/av6253025,3926,1987,15698,6799,4,880771
110791,1,6235951,http://www.bilibili.com/video/av6235951,17429,25318,109677,95378,100,875568
8245,0,6388107,http://www.bilibili.com/video/av6388107,1712,859,10110,3135,54,874995
6084,0,6120437,http://www.bilibili.com/video/av6120437,1054,918,5586,1366,35,865098
8255,0,6352870,http://www.bilibili.com/video/av6352870,4906,1188,7128,3177,10,861750
15323,0,6466388,http://www.bilibili.com/video/av6466388,2887,2502,16517,7953,75,860853
10342,1,6351501,http://www.bilibili.com/video/av6351501,2001,952,13368,32181,94,854595
19011,0,6311005,http://www.bilibili.com/video/av6311005,3506,405,21393,3688,25,839288
9962,0,6380768,http://www.bilibili.com/video/av6380768,1056,2111,17543,28127,95,836167
8787,0,6433460,http://www.bilibili.com/video/av6433460,1282,1912,6746,14512,80,832861
5362,0,6464154,http://www.bilibili.com/video/av6464154,1235,211,3591,840,41,832648
27987,0,6135634,http://www.bilibili.com/video/av6135634,6647,728,45755,7123,55,829127
4807,0,6385006,http://www.bilibili.com/video/av6385006,2456,445,7093,3994,19,828149
7061,0,6472986,http://www.bilibili.com/video/av6472986,1609,357,3251,1342,48,821601
8323,0,6216385,http://www.bilibili.com/video/av6216385,1663,360,2896,1556,44,814823
4793,0,6378784,http://www.bilibili.com/video/av6378784,1133,218,3797,895,30,809005
19233,0,6363539,http://www.bilibili.com/video/av6363539,2126,281,2211,256,0,806560
8194,0,6298914,http://www.bilibili.com/video/av6298914,3782,320,9939,2867,41,805385
8454,0,6130160,http://www.bilibili.com/video/av6130160,2243,400,3191,1792,77,796935
8321,0,6309657,http://www.bilibili.com/video/av6309657,2144,610,3382,1920,26,795097
19270,0,6448434,http://www.bilibili.com/video/av6448434,2055,255,1143,251,0,794278
8756,0,6343543,http://www.bilibili.com/video/av6343543,3763,1419,12083,5583,6,772088
7252,0,6263191,http://www.bilibili.com/video/av6263191,1466,6891,27944,34696,91,759613
28986,0,6117792,http://www.bilibili.com/video/av6117792,2362,376,2608,443,0,755784
18186,1,6151706,http://www.bilibili.com/video/av6151706,1995,2151,10935,48595,26,749655
4776,0,6469017,http://www.bilibili.com/video/av6469017,669,1802,4810,26227,27,746317
11142,0,6208992,http://www.bilibili.com/video/av6208992,3076,214,2765,380,0,745536
23560,0,6310323,http://www.bilibili.com/video/av6310323,5701,483,5258,706,0,742047
6196,1,6285705,http://www.bilibili.com/video/av6285705,1195,5684,14474,28461,94,731960
7659,0,6416910,http://www.bilibili.com/video/av6416910,3641,4392,6053,14327,90,731227
10470,0,6216224,http://www.bilibili.com/video/av6216224,2484,718,2096,5512,86,731051
9650,0,6159685,http://www.bilibili.com/video/av6159685,1284,214,1011,204,0,727384
37224,0,6298459,http://www.bilibili.com/video/av6298459,5424,1577,28422,7326,39,726486
36685,0,6408368,http://www.bilibili.com/video/av6408368,5896,1110,18173,1231,0,720756
16034,0,6122377,http://www.bilibili.com/video/av6122377,2018,250,3907,442,0,719437
29385,0,6204148,http://www.bilibili.com/video/av6204148,1971,279,2299,424,0,719174
5836,0,6164525,http://www.bilibili.com/video/av6164525,1945,6856,9542,6944,93,717727
3741,1,6212204,http://www.bilibili.com/video/av6212204,1499,6109,22135,28738,85,713256
6083,1,6429040,http://www.bilibili.com/video/av6429040,2781,7781,18765,22835,60,706670
6365,0,6449135,http://www.bilibili.com/video/av6449135,1169,5649,19638,46911,74,704643
5737,1,6132458,http://www.bilibili.com/video/av6132458,3663,2997,43136,61467,88,703008
15909,0,6270550,http://www.bilibili.com/video/av6270550,402,736,481,9489,0,702236
9397,0,6436447,http://www.bilibili.com/video/av6436447,2144,7522,5541,24940,70,700024
8037,0,6258902,http://www.bilibili.com/video/av6258902,1071,1196,2414,7969,67,698741
6411,0,6460490,http://www.bilibili.com/video/av6460490,1681,1524,13973,23552,39,698648
19997,0,6159680,http://www.bilibili.com/video/av6159680,2914,347,2404,480,0,698035
5425,0,6280036,http://www.bilibili.com/video/av6280036,1989,6952,13898,34163,58,690774
11585,0,6242069,http://www.bilibili.com/video/av6242069,847,276,1043,220,0,690670
2588,0,6364951,http://www.bilibili.com/video/av6364951,3160,1706,2711,2606,46,689853
3888,0,6114258,http://www.bilibili.com/video/av6114258,1805,6302,23747,29459,89,687554
4105,0,6201866,http://www.bilibili.com/video/av6201866,3163,4220,2235,20196,43,677582
25645,0,6171105,http://www.bilibili.com/video/av6171105,10559,372,1602,507,0,674433
15709,0,6386091,http://www.bilibili.com/video/av6386091,6371,6239,43188,33781,86,669951
21949,0,6254370,http://www.bilibili.com/video/av6254370,6465,244,1609,417,0,667453
44965,0,6465971,http://www.bilibili.com/video/av6465971,3061,4354,13592,9087,92,666659
12599,0,6190389,http://www.bilibili.com/video/av6190389,2820,136,5601,2175,23,650710
9371,0,6380138,http://www.bilibili.com/video/av6380138,2185,429,10105,4183,33,650211
6802,0,6460748,http://www.bilibili.com/video/av6460748,1306,3605,17438,19139,15,649177
28103,0,6293816,http://www.bilibili.com/video/av6293816,2991,274,2411,403,0,649021
73037,0,6175933,http://www.bilibili.com/video/av6175933,4099,765,3771,8229,0,647843
2063,0,6252635,http://www.bilibili.com/video/av6252635,981,97,1986,545,96,646693
33279,0,6460418,http://www.bilibili.com/video/av6460418,8132,716,3797,1258,0,646184
2477,0,6236171,http://www.bilibili.com/video/av6236171,799,478,1936,1549,30,645304
6668,0,6127578,http://www.bilibili.com/video/av6127578,1836,1731,20825,21549,53,639554
3685,0,6446345,http://www.bilibili.com/video/av6446345,3903,3020,15353,9818,35,638584
22879,0,6346043,http://www.bilibili.com/video/av6346043,7707,351,1685,568,0,638419
28151,0,6429054,http://www.bilibili.com/video/av6429054,5674,356,1307,383,0,638031
18192,0,6116040,http://www.bilibili.com/video/av6116040,5396,277,1533,574,0,637440
9420,0,6335256,http://www.bilibili.com/video/av6335256,1221,193,1046,195,0,627345
11743,0,6243774,http://www.bilibili.com/video/av6243774,3038,188,1643,254,0,626181
1934,0,6369912,http://www.bilibili.com/video/av6369912,703,397,4384,17340,65,624212
3741,0,6227723,http://www.bilibili.com/video/av6227723,2459,1574,1232,18316,58,623503
4487,0,6470435,http://www.bilibili.com/video/av6470435,912,5650,14805,23275,33,623437
21883,0,6465954,http://www.bilibili.com/video/av6465954,8519,539,1906,776,0,622531
12386,0,6388363,http://www.bilibili.com/video/av6388363,2447,682,4632,2362,78,618362
42169,0,6164935,http://www.bilibili.com/video/av6164935,3970,697,2374,6413,0,614008
19810,0,6140886,http://www.bilibili.com/video/av6140886,5212,383,2151,450,0,613622
2397,0,6211409,http://www.bilibili.com/video/av6211409,1331,372,741,7931,38,612329
40064,0,6472046,http://www.bilibili.com/video/av6472046,3895,6068,4786,14303,0,603899
9458,0,6417042,http://www.bilibili.com/video/av6417042,1214,249,956,170,0,603642
5741,0,6271596,http://www.bilibili.com/video/av6271596,1914,5181,6490,16955,31,602650
31542,0,6292061,http://www.bilibili.com/video/av6292061,12409,588,1776,594,0,601927
7514,0,6181669,http://www.bilibili.com/video/av6181669,2079,8267,41506,34635,99,600382
2264,1,6351680,http://www.bilibili.com/video/av6351680,1083,3578,17644,22584,75,599328
6514,0,6264711,http://www.bilibili.com/video/av6264711,3273,1954,2664,2536,26,599067
15897,0,6203732,http://www.bilibili.com/video/av6203732,5379,230,1155,419,0,595036
57552,0,6376700,http://www.bilibili.com/video/av6376700,4782,702,6356,910,0,591475
2494,0,6406308,http://www.bilibili.com/video/av6406308,678,438,2423,1439,32,588925
3284,0,6412200,http://www.bilibili.com/video/av6412200,640,7929,1909,12101,80,584938
4217,0,6330413,http://www.bilibili.com/video/av6330413,1139,1049,2015,3040,0,582477
4044,0,6352727,http://www.bilibili.com/video/av6352727,3431,2856,19074,13588,45,580579
3537,0,6253943,http://www.bilibili.com/video/av6253943,1698,1795,2831,2944,71,580062
15395,0,6376735,http://www.bilibili.com/video/av6376735,3937,259,1378,518,0,579160
4669,0,6383494,http://www.bilibili.com/video/av6383494,1938,677,6415,12850,18,576649
2603,0,6168691,http://www.bilibili.com/video/av6168691,833,3012,25380,18219,79,575349
4593,1,6423537,http://www.bilibili.com/video/av6423537,2067,3731,19887,19958,95,574330
7144,0,6376730,http://www.bilibili.com/video/av6376730,2136,286,6142,1189,49,574328
3279,0,6152482,http://www.bilibili.com/video/av6152482,1124,655,2356,1524,32,573509
77379,0,6136009,http://www.bilibili.com/video/av6136009,10943,2217,7874,10708,0,572605
8125,0,6118687,http://www.bilibili.com/video/av6118687,1651,325,5765,1148,66,572132
8671,0,6128219,http://www.bilibili.com/video/av6128219,4801,1861,21456,25699,15,570425
2066,0,6459857,http://www.bilibili.com/video/av6459857,1252,2213,22733,40259,51,567624
1297,0,6244301,http://www.bilibili.com/video/av6244301,867,1011,2138,5401,72,566762
16371,0,6282784,http://www.bilibili.com/video/av6282784,1968,2931,50261,30655,62,564689
2672,0,6290476,http://www.bilibili.com/video/av6290476,1187,723,5858,16228,52,563156
3955,0,6171858,http://www.bilibili.com/video/av6171858,2644,1226,3318,13650,20,562790
7992,0,6463093,http://www.bilibili.com/video/av6463093,1740,199,5403,889,53,559401
6152,0,6427282,http://www.bilibili.com/video/av6427282,3733,2547,5918,4327,16,556848
2573,0,6473722,http://www.bilibili.com/video/av6473722,921,1744,3277,3567,45,555262
15508,0,6226965,http://www.bilibili.com/video/av6226965,2894,281,1843,397,0,555090
7875,0,6474924,http://www.bilibili.com/video/av6474924,1104,772,3185,2400,0,550839
9301,0,6169410,http://www.bilibili.com/video/av6169410,3254,144,5069,1805,3,546293
2583,0,6427630,http://www.bilibili.com/video/av6427630,1535,1073,2919,8808,66,545736
2700,0,6265502,http://www.bilibili.com/video/av6265502,569,141,1176,1078,43,544024
3284,0,6465893,http://www.bilibili.com/video/av6465893,2974,5292,16510,18191,90,542102
2062,0,6176215,http://www.bilibili.com/video/av6176215,916,2620,9596,14363,25,538631
10364,0,6264948,http://www.bilibili.com/video/av6264948,3479,967,8091,2825,83,536005
10904,0,6335248,http://www.bilibili.com/video/av6335248,2333,176,1342,246,0,535862
9368,0,6454449,http://www.bilibili.com/video/av6454449,8647,10666,6377,27113,89,535273
30319,0,6238942,http://www.bilibili.com/video/av6238942,1572,1316,1211,22502,0,534062
2139,0,6345040,http://www.bilibili.com/video/av6345040,503,152,1151,1114,30,531615
2404,0,6150055,http://www.bilibili.com/video/av6150055,1330,3619,19671,24346,51,529117
7473,0,6452982,http://www.bilibili.com/video/av6452982,2848,3003,15818,29337,25,526034
2244,0,6451219,http://www.bilibili.com/video/av6451219,1176,722,9326,25727,34,523814
2256,0,6334807,http://www.bilibili.com/video/av6334807,5409,1684,1468,7199,0,523656
2951,0,6277360,http://www.bilibili.com/video/av6277360,1593,349,2061,1218,60,523001
35665,0,6393106,http://www.bilibili.com/video/av6393106,4614,744,21216,5464,47,522623
15124,0,6269429,http://www.bilibili.com/video/av6269429,495,713,237,6025,0,521328
3569,0,6131913,http://www.bilibili.com/video/av6131913,1254,244,876,1027,57,521038
5017,0,6126988,http://www.bilibili.com/video/av6126988,1649,697,3062,2452,62,519669
18457,0,6283649,http://www.bilibili.com/video/av6283649,3053,8308,90374,50728,89,519488
7884,0,6289877,http://www.bilibili.com/video/av6289877,2499,506,4954,1128,57,518207
7466,0,6282210,http://www.bilibili.com/video/av6282210,4724,1256,9918,12134,28,515661
3896,0,6443264,http://www.bilibili.com/video/av6443264,1179,1475,18304,14336,98,512402
4112,0,6395096,http://www.bilibili.com/video/av6395096,2280,2741,3938,3295,0,511780
15875,0,6417040,http://www.bilibili.com/video/av6417040,3397,263,1631,291,0,508885
5725,0,6404184,http://www.bilibili.com/video/av6404184,863,190,1903,1098,17,508684
6229,0,6218231,http://www.bilibili.com/video/av6218231,798,583,2448,1707,0,505599
6099,0,6384541,http://www.bilibili.com/video/av6384541,1739,2673,3456,3622,0,504263
5068,0,6368844,http://www.bilibili.com/video/av6368844,1401,751,4571,2342,38,502603
3465,0,6444269,http://www.bilibili.com/video/av6444269,1593,626,1987,2012,44,502377
2307,0,6425398,http://www.bilibili.com/video/av6425398,621,135,2348,654,97,500008
7398,0,6130873,http://www.bilibili.com/video/av6130873,1901,358,2186,1096,64,496568
6259,0,6251385,http://www.bilibili.com/video/av6251385,2708,922,13300,2575,91,494426
50412,0,6240427,http://www.bilibili.com/video/av6240427,3089,4289,3683,27716,0,494386
4019,0,6289477,http://www.bilibili.com/video/av6289477,3664,1143,16449,16060,63,494259
5424,1,6327472,http://www.bilibili.com/video/av6327472,2979,390,1492,13120,86,493735
4708,0,6296047,http://www.bilibili.com/video/av6296047,2054,813,5465,2850,55,489518
1652,0,6384883,http://www.bilibili.com/video/av6384883,1054,2016,7777,15876,24,489341
3417,0,6207368,http://www.bilibili.com/video/av6207368,1327,205,2669,1715,0,484676
2997,0,6214886,http://www.bilibili.com/video/av6214886,1166,2396,22471,20957,41,483460
2833,0,6136321,http://www.bilibili.com/video/av6136321,883,3167,8479,17892,55,482552
7531,1,6287758,http://www.bilibili.com/video/av6287758,2972,3201,3263,17302,0,479219
21497,0,6236685,http://www.bilibili.com/video/av6236685,2805,503,4631,7172,81,476915
2410,0,6167608,http://www.bilibili.com/video/av6167608,1304,2253,26204,10152,50,476836
